Accession;Gene Symbol;Description;Contaminant;Marked as;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;Biological Process;Cellular Component;Molecular Function;Entrez Gene ID;Ensembl Gene ID;KEGG Pathways;WikiPathways;# Razor Peptides;Abundance Ratio: (LIF) / (Control);Abundance Ratio P-Value: (LIF) / (Control);Abundance Ratio Adj. P-Value: (LIF) / (Control);Abundances (Grouped): Control;Abundances (Grouped): LIF;Abundances (Grouped) CV [%]: Control;Abundances (Grouped) CV [%]: LIF;Modifications
Q60838;Dvl2;Segment polarity protein dishevelled homolog DVL-2 OS=Mus musculus OX=10090 GN=Dvl2 PE=1 SV=2;FALSE;Mouse;7;19;4;1;"cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";protein binding;13543;ENSMUSG00000020888.16;"mTOR signaling pathway; Wnt signaling pathway; Basal cell carcinoma; Hippo signaling pathway; Breast cancer; Signaling pathways regulating pluripotency of stem cells; Melanogenesis; HTLV-I infection; Notch signaling pathway; Pathways in cancer";"Wnt Signaling Pathway and Pluripotency; Wnt Signaling Pathway; Notch Signaling Pathway; Wnt Signaling in Kidney Disease; Wnt Signaling Pathway NetPath; ESC Pluripotency Pathways";1;1.107;0.397415837;0.881111644;94.9;105.1;11.21;3.15;
Q60847;Col12a1;Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3;FALSE;Mouse;88;281;88;1;cell differentiation;extracellular;protein binding;12816;;Protein digestion and absorption;;0;0.938;0.793077835;0.952216293;103.2;96.8;15.21;14.68;
Q60848;Hells;Lymphocyte-specific helicase OS=Mus musculus OX=10090 GN=Hells PE=1 SV=2;FALSE;Mouse;2;3;2;1;"cell differentiation;cell division;cell organization and biogenesis;cell proliferation;development;metabolic process;regulation of biological process";nucleus;"catalytic activity;nucleotide binding;protein binding";15201;ENSMUSG00000025001.11;;"PluriNetWork; Apoptosis";0;0.845;0.315545686;0.869561766;108.4;91.6;27.9;11.15;
Q60854;Serpinb6a;Serpin B6 OS=Mus musculus OX=10090 GN=Serpinb6 PE=1 SV=1;FALSE;Mouse;15;247;15;1;"regulation of biological process;response to stimulus";"cytoplasm;extracellular";"enzyme regulator activity;protein binding";20719;ENSMUSG00000060147.15;Amoebiasis;;0;0.948;0.033536037;0.858136371;102.7;97.3;3.2;1.75;
Q60855;Ripk1;Receptor-interacting serine/threonine-protein kinase 1 OS=Mus musculus OX=10090 GN=Ripk1 PE=1 SV=1;FALSE;Mouse;6;9;6;1;"cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;mitochondrion";"catalytic activity;nucleotide binding;protein binding;signal transducer activity";19766;ENSMUSG00000021408.14;"TNF signaling pathway; NOD-like receptor signaling pathway; Epstein-Barr virus infection; RIG-I-like receptor signaling pathway; Toll-like receptor signaling pathway; Hepatitis C; Cytosolic DNA-sensing pathway; NF-kappa B signaling pathway; Apoptosis";"EGFR1 Signaling Pathway; TNF-alpha NF-kB Signaling Pathway; Apoptosis; p38 MAPK Signaling Pathway; Apoptosis Modulation by HSP70";0;1.069;0.784968609;0.94936906;96.7;103.3;9.83;2.77;
Q60862;Orc2;Origin recognition complex subunit 2 OS=Mus musculus OX=10090 GN=Orc2 PE=1 SV=1;FALSE;Mouse;2;2;2;1;metabolic process;"chromosome;membrane;nucleus";DNA binding;18393;ENSMUSG00000026037.14;Cell cycle;"G1 to S cell cycle control; DNA Replication";0;0.895;0.027771072;0.858136371;105.5;94.5;3.91;3.51;
Q60864;Stip1;Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1;FALSE;Mouse;32;245;32;1;;"cytoplasm;cytosol;nucleus";"protein binding;RNA binding";20867;ENSMUSG00000024966.8;Prion diseases;;0;0.992;0.810860493;0.957465069;100.4;99.6;3.34;2.46;
Q60866;Pter;Phosphotriesterase-related protein OS=Mus musculus OX=10090 GN=Pter PE=1 SV=1;FALSE;Mouse;1;2;1;1;"cell differentiation;metabolic process";;"catalytic activity;metal ion binding";19212;ENSMUSG00000026730.12;;;0;0.86;0.573138554;0.908071249;107.5;92.5;28.31;13.94;
Q60870;Reep5;Receptor expression-enhancing protein 5 OS=Mus musculus OX=10090 GN=Reep5 PE=1 SV=1;FALSE;Mouse;1;4;1;1;;"endoplasmic reticulum;membrane";protein binding;13476;;;;0;1.091;0.126280605;0.858136371;95.7;104.3;5.94;2.03;
Q60872;Eif1a;Eukaryotic translation initiation factor 1A OS=Mus musculus OX=10090 GN=Eif1a PE=2 SV=3;FALSE;Mouse;4;26;4;1;metabolic process;;RNA binding;13664;ENSMUSG00000057561.9;RNA transport;Translation Factors;0;1.068;0.056928207;0.858136371;96.7;103.3;3.99;4.16;
Q60876;Eif4ebp1;Eukaryotic translation initiation factor 4E-binding protein 1 OS=Mus musculus OX=10090 GN=Eif4ebp1 PE=1 SV=3;FALSE;Mouse;3;6;3;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;nucleus";"protein binding;translation regulator activity";13685;ENSMUSG00000031490.6;"ErbB signaling pathway; Acute myeloid leukemia; mTOR signaling pathway; Insulin signaling pathway; Longevity regulating pathway; HIF-1 signaling pathway; PI3K-Akt signaling pathway; AMPK signaling pathway; EGFR tyrosine kinase inhibitor resistance; RNA transport; Choline metabolism in cancer";"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Alpha6-Beta4 Integrin Signaling Pathway; Translation Factors; Insulin Signaling; ErbB signaling pathway; IL-6 signaling Pathway; Hypertrophy Model";0;0.986;0.560158085;0.903504892;100.7;99.3;12.65;4.91;
Q60929;Mef2a;Myocyte-specific enhancer factor 2A OS=Mus musculus OX=10090 GN=Mef2a PE=1 SV=2;FALSE;Mouse;2;3;1;1;"cell death;cell differentiation;cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"DNA binding;protein binding";17258;ENSMUSG00000030557.17;cGMP-PKG signaling pathway;Adipogenesis genes;0;1.193;0.638667869;0.925006424;91.2;108.8;18.49;6.71;
Q60930;Vdac2;Voltage-dependent anion-selective channel protein 2 OS=Mus musculus OX=10090 GN=Vdac2 PE=1 SV=2;FALSE;Mouse;11;132;11;1;"regulation of biological process;transport";"membrane;mitochondrion;nucleus";"nucleotide binding;protein binding;transporter activity";22334;ENSMUSG00000021771.13;"NOD-like receptor signaling pathway; HTLV-I infection; Huntington's disease; Parkinson's disease; cGMP-PKG signaling pathway; Calcium signaling pathway";;0;0.971;0.744096663;0.943564924;101.5;98.5;9.94;6.33;
Q60931;Vdac3;Voltage-dependent anion-selective channel protein 3 OS=Mus musculus OX=10090 GN=Vdac3 PE=1 SV=1;FALSE;Mouse;11;104;10;1;"cell communication;defense response;regulation of biological process;response to stimulus;transport";"endoplasmic reticulum;membrane;mitochondrion;nucleus";"nucleotide binding;transporter activity";22335;ENSMUSG00000008892.12;"NOD-like receptor signaling pathway; Hepatitis B; HTLV-I infection; Huntington's disease; Parkinson's disease; cGMP-PKG signaling pathway; Calcium signaling pathway; Viral carcinogenesis";;0;0.879;0.257419447;0.860293668;106.5;93.5;5.39;10.69;
Q60943;Il17ra;Interleukin-17 receptor A OS=Mus musculus OX=10090 GN=Il17ra PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cellular component movement;defense response;regulation of biological process;response to stimulus";membrane;"protein binding;receptor activity;signal transducer activity";16172;ENSMUSG00000002897.5;Cytokine-cytokine receptor interaction;;0;;;;;;;;
Q60952;Cep250;Centrosome-associated protein CEP250 OS=Mus musculus OX=10090 GN=Cep250 PE=1 SV=4;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;regulation of biological process";"cytoplasm;cytoskeleton";protein binding;16328;ENSMUSG00000038241.16;;;0;0.939;0.273439872;0.862578915;103.1;96.9;26.91;32.68;
Q60953;Pml;Protein PML OS=Mus musculus OX=10090 GN=Pml PE=1 SV=3;FALSE;Mouse;12;21;12;1;"cell death;cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;defense response;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;cytosol;endoplasmic reticulum;endosome;membrane;nucleus";"DNA binding;metal ion binding;protein binding";18854;ENSMUSG00000036986.16;"Acute myeloid leukemia; Endocytosis; Herpes simplex infection; Ubiquitin mediated proteolysis; Transcriptional misregulation in cancer; Pathways in cancer; Influenza A";"miRNA regulation of DNA Damage Response; TNF-alpha NF-kB Signaling Pathway; PluriNetWork";0;0.954;0.065021566;0.858136371;102.3;97.7;3.84;1.46;
Q60960;Kpna1;Importin subunit alpha-5 OS=Mus musculus OX=10090 GN=Kpna1 PE=1 SV=2;FALSE;Mouse;5;9;2;1;transport;"cytoplasm;cytosol;nucleus";"protein binding;transporter activity";16646;ENSMUSG00000022905.12;Influenza A;;0;0.967;0.850171085;0.966659765;101.7;98.3;23.1;14.27;
Q60961;Laptm4a;Lysosomal-associated transmembrane protein 4A OS=Mus musculus OX=10090 GN=Laptm4a PE=1 SV=1;FALSE;Mouse;1;2;1;1;transport;"Golgi;membrane";;17775;;;;0;;;;;;;;
Q60967;Papss1;Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Mus musculus OX=10090 GN=Papss1 PE=1 SV=1;FALSE;Mouse;16;49;15;1;metabolic process;;"catalytic activity;nucleotide binding;protein binding";23971;ENSMUSG00000028032.13;"Metabolic pathways; Purine metabolism; Sulfur metabolism; Selenocompound metabolism";Purine metabolism;0;0.958;0.919790587;0.985123128;102.2;97.8;7.77;3.1;
Q60972;Rbbp4;Histone-binding protein RBBP4 OS=Mus musculus OX=10090 GN=Rbbp4 PE=1 SV=5;FALSE;Mouse;13;74;5;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"catalytic activity;DNA binding;protein binding";19646;ENSMUSG00000057236.10;;PluriNetWork;9;0.997;0.829347496;0.962541754;100.2;99.8;2.84;3.87;
Q60973;Rbbp7;Histone-binding protein RBBP7 OS=Mus musculus OX=10090 GN=Rbbp7 PE=1 SV=1;FALSE;Mouse;12;82;5;1;"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus";"cytosol;nucleus";"protein binding;RNA binding";245688;ENSMUSG00000031353.13;;"PluriNetWork; EGFR1 Signaling Pathway";0;1.05;0.868441771;0.970430815;97.5;102.5;11.92;9.22;
Q60974;Ncor1;Nuclear receptor corepressor 1 OS=Mus musculus OX=10090 GN=Ncor1 PE=1 SV=1;FALSE;Mouse;3;4;1;1;"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process";"cytoplasm;cytosol;membrane;nucleus";"DNA binding;enzyme regulator activity;protein binding";20185;;;"Delta-Notch Signaling Pathway; Estrogen signaling; Ovarian Infertility Genes; Adipogenesis genes";0;0.784;0.745720635;0.943564924;112.1;87.9;23.39;14.38;
Q60992;Vav2;Guanine nucleotide exchange factor VAV2 OS=Mus musculus OX=10090 GN=Vav2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane";"metal ion binding;protein binding";22325;ENSMUSG00000009621.18;"Leukocyte transendothelial migration; T cell receptor signaling pathway; Regulation of actin cytoskeleton; Focal adhesion; Chemokine signaling pathway; B cell receptor signaling pathway; Proteoglycans in cancer; Fc gamma R-mediated phagocytosis; cAMP signaling pathway; Natural killer cell mediated cytotoxicity; Fc epsilon RI signaling pathway";"Microglia Pathogen Phagocytosis Pathway; EGFR1 Signaling Pathway; Integrin-mediated Cell Adhesion; Chemokine signaling pathway; Kit Receptor Signaling Pathway";0;;;;;;;;
Q60996;Ppp2r5c;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform OS=Mus musculus OX=10090 GN=Ppp2r5c PE=1 SV=2;FALSE;Mouse;5;8;5;1;"metabolic process;regulation of biological process;response to stimulus";"chromosome;cytosol;Golgi;nucleus";"enzyme regulator activity;protein binding";26931;ENSMUSG00000017843.13;"mRNA surveillance pathway; Dopaminergic synapse; Oocyte meiosis; Sphingolipid signaling pathway; PI3K-Akt signaling pathway; AMPK signaling pathway; Adrenergic signaling in cardiomyocytes";"Wnt Signaling Pathway and Pluripotency; IL-6 signaling Pathway; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Wnt Signaling Pathway; Glycogen Metabolism";0;0.791;0.058977577;0.858136371;111.6;88.4;3.19;8.96;
Q61001;Lama5;Laminin subunit alpha-5 OS=Mus musculus OX=10090 GN=Lama5 PE=1 SV=4;FALSE;Mouse;14;21;14;1;"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus;transport";"cytoplasm;extracellular;membrane;nucleus";"catalytic activity;motor activity;protein binding";16776;ENSMUSG00000015647.9;"Focal adhesion; Toxoplasmosis; Metabolic pathways; Small cell lung cancer; Pathways in cancer; ECM-receptor interaction; PI3K-Akt signaling pathway; Amoebiasis";"Primary Focal Segmental Glomerulosclerosis FSGS; Alpha6-Beta4 Integrin Signaling Pathway; Focal Adhesion; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Inflammatory Response Pathway";0;1.243;0.583552205;0.909878192;89.2;110.8;20.52;17.81;
Q61024;Asns;Asparagine synthetase [glutamine-hydrolyzing] OS=Mus musculus OX=10090 GN=Asns PE=1 SV=3;FALSE;Mouse;17;72;17;1;"cell communication;metabolic process;regulation of biological process;response to stimulus";cytosol;"catalytic activity;nucleotide binding;protein binding";27053;ENSMUSG00000029752.12;"Metabolic pathways; Alanine, aspartate and glutamate metabolism";;0;0.961;0.637464072;0.925006424;102;98;5.14;0.83;
Q61026;Ncoa2;Nuclear receptor coactivator 2 OS=Mus musculus OX=10090 GN=Ncoa2 PE=1 SV=3;FALSE;Mouse;2;2;2;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;endoplasmic reticulum;Golgi;nucleus";"DNA binding;protein binding";17978;ENSMUSG00000005886.14;Thyroid hormone signaling pathway;Adipogenesis genes;0;1.048;0.324192915;0.869561766;97.7;102.3;38.34;25.35;
Q61035;Hars;Histidine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Hars PE=1 SV=2;FALSE;Mouse;18;52;15;1;"cell organization and biogenesis;metabolic process";"cytoplasm;cytosol;mitochondrion";"catalytic activity;nucleotide binding;protein binding";15115;ENSMUSG00000001380.6;Aminoacyl-tRNA biosynthesis;;3;0.955;0.248412579;0.858136371;102.3;97.7;7.84;2.44;
Q61036;Pak3;Serine/threonine-protein kinase PAK 3 OS=Mus musculus OX=10090 GN=Pak3 PE=1 SV=2;FALSE;Mouse;12;39;3;1;"cell organization and biogenesis;cellular component movement;development;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;endosome";"catalytic activity;metal ion binding;nucleotide binding;protein binding";18481;ENSMUSG00000031284.16;"ErbB signaling pathway; T cell receptor signaling pathway; Regulation of actin cytoskeleton; Ras signaling pathway; Focal adhesion; Axon guidance; Renal cell carcinoma";"Integrin-mediated Cell Adhesion; Regulation of Actin Cytoskeleton; Focal Adhesion; G13 Signaling Pathway";0;;;;;;;;
Q61037;Tsc2;Tuberin OS=Mus musculus OX=10090 GN=Tsc2 PE=1 SV=1;FALSE;Mouse;1;1;1;1;"cell death;cell organization and biogenesis;regulation of biological process;response to stimulus;transport";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus;vacuole";"enzyme regulator activity;protein binding";22084;;;"Insulin Signaling; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway";0;;;;;;;;
Q61043;;Ninein OS=Mus musculus OX=10090 GN=Nin PE=1 SV=4;FALSE;Mouse;1;1;1;1;;;;;;;;0;;;;;;;;
Q61048;Wbp4;WW domain-binding protein 4 OS=Mus musculus OX=10090 GN=Wbp4 PE=1 SV=4;FALSE;Mouse;2;3;2;1;metabolic process;"nucleus;spliceosomal complex";"metal ion binding;protein binding";22380;ENSMUSG00000022023.5;;mRNA processing;0;1.3;0.411518586;0.882388679;87;113;15.96;15.93;
Q61062;Dvl3;Segment polarity protein dishevelled homolog DVL-3 OS=Mus musculus OX=10090 GN=Dvl3 PE=1 SV=2;FALSE;Mouse;6;15;3;1;"development;regulation of biological process;response to stimulus";"cytoplasm;cytosol";protein binding;13544;ENSMUSG00000003233.11;"mTOR signaling pathway; Wnt signaling pathway; Basal cell carcinoma; Hippo signaling pathway; Breast cancer; Signaling pathways regulating pluripotency of stem cells; Melanogenesis; HTLV-I infection; Notch signaling pathway; Pathways in cancer";"Wnt Signaling in Kidney Disease; Wnt Signaling Pathway NetPath; ESC Pluripotency Pathways; Wnt Signaling Pathway and Pluripotency; Wnt Signaling Pathway; Notch Signaling Pathway";0;1.349;0.127450248;0.858136371;85.2;114.8;6.4;13.81;
Q61069;Usf1;Upstream stimulatory factor 1 OS=Mus musculus OX=10090 GN=Usf1 PE=1 SV=1;FALSE;Mouse;4;7;2;1;"cell communication;metabolic process;regulation of biological process;response to stimulus";nucleus;"DNA binding;protein binding";22278;ENSMUSG00000026641.13;;;0;1.102;0.620167526;0.918882602;95.1;104.9;23.51;40.74;
Q61072;Adam9;Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus OX=10090 GN=Adam9 PE=1 SV=2;FALSE;Mouse;2;2;2;1;"cellular component movement;metabolic process;regulation of biological process;response to stimulus";"cell surface;cytoplasm;membrane";"catalytic activity;metal ion binding;protein binding";11502;ENSMUSG00000031555.15;;;0;;;;;;;;
Q61074;Ppm1g;Protein phosphatase 1G OS=Mus musculus OX=10090 GN=Ppm1g PE=1 SV=3;FALSE;Mouse;15;46;15;1;"metabolic process;regulation of biological process";"membrane;nucleus";"catalytic activity;metal ion binding;protein binding";14208;ENSMUSG00000029147.10;;mRNA processing;0;0.977;0.526400055;0.89784396;101.2;98.8;14.54;2.72;
Q61081;Cdc37;Hsp90 co-chaperone Cdc37 OS=Mus musculus OX=10090 GN=Cdc37 PE=1 SV=1;FALSE;Mouse;12;47;12;1;"metabolic process;regulation of biological process";"cytoplasm;cytosol";"catalytic activity;enzyme regulator activity;protein binding";12539;ENSMUSG00000019471.10;PI3K-Akt signaling pathway;"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; TNF-alpha NF-kB Signaling Pathway";0;0.886;0.107740415;0.858136371;106;94;6.78;7.63;
Q61083;Map3k2;Mitogen-activated protein kinase kinase kinase 2 OS=Mus musculus OX=10090 GN=Map3k2 PE=1 SV=2;FALSE;Mouse;1;2;1;1;"metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;nucleus";"catalytic activity;metal ion binding;nucleotide binding;protein binding;signal transducer activity";26405;;;"EGFR1 Signaling Pathway; TNF-alpha NF-kB Signaling Pathway; MAPK Cascade; Insulin Signaling";0;0.979;0.840083079;0.965200098;101.1;98.9;5.63;5.74;
Q61102;Abcb7;ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus OX=10090 GN=Abcb7 PE=1 SV=3;FALSE;Mouse;5;5;5;1;"cellular homeostasis;transport";"membrane;mitochondrion";"catalytic activity;nucleotide binding;transporter activity";11306;ENSMUSG00000031333.7;ABC transporters;;0;0.947;0.715935986;0.93721388;102.7;97.3;19.27;8.69;
Q61103;Dpf2;Zinc finger protein ubi-d4 OS=Mus musculus OX=10090 GN=Dpf2 PE=1 SV=1;FALSE;Mouse;6;15;6;1;"cell death;metabolic process;regulation of biological process";"cytoplasm;cytosol;nucleus";"DNA binding;metal ion binding;protein binding";19708;ENSMUSG00000024826.14;;TNF-alpha NF-kB Signaling Pathway;0;1.343;0.061225851;0.858136371;85.4;114.6;12.73;6.73;
Q61112;Sdf4;45 kDa calcium-binding protein OS=Mus musculus OX=10090 GN=Sdf4 PE=1 SV=1;FALSE;Mouse;10;20;10;1;"cell differentiation;response to stimulus;transport";"cytoplasm;endosome;Golgi;membrane;organelle lumen";"metal ion binding;protein binding";20318;ENSMUSG00000029076.14;;;0;1.084;0.061410948;0.858136371;95.9;104.1;2.23;4;
Q61122;Nab1;NGFI-A-binding protein 1 OS=Mus musculus OX=10090 GN=Nab1 PE=1 SV=2;FALSE;Mouse;3;5;2;1;"cell differentiation;metabolic process;regulation of biological process";nucleus;protein binding;17936;ENSMUSG00000002881.14;;;0;;;;;;;;
Q61124;Cln3;Battenin OS=Mus musculus OX=10090 GN=Cln3 PE=1 SV=2;FALSE;Mouse;1;1;1;1;"cell communication;cell organization and biogenesis;cellular component movement;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport";"cytoplasm;endoplasmic reticulum;endosome;Golgi;membrane;nucleus;vacuole";protein binding;12752;ENSMUSG00000030720.16;Lysosome;;0;;;;;;;;
Q61127;Nab2;NGFI-A-binding protein 2 OS=Mus musculus OX=10090 GN=Nab2 PE=1 SV=2;FALSE;Mouse;13;23;12;1;"cell differentiation;metabolic process;regulation of biological process";nucleus;protein binding;17937;ENSMUSG00000025402.12;;;1;0.928;0.327380034;0.869561766;103.8;96.2;8.27;7.65;
Q61136;Prpf4b;Serine/threonine-protein kinase PRP4 homolog OS=Mus musculus OX=10090 GN=Prpf4b PE=1 SV=3;FALSE;Mouse;12;22;12;1;metabolic process;"chromosome;nucleus;spliceosomal complex";"catalytic activity;nucleotide binding;RNA binding";19134;ENSMUSG00000021413.8;;mRNA processing;0;0.94;0.347328243;0.87501916;103.1;96.9;3.94;2.69;
Q61140;Bcar1;Breast cancer anti-estrogen resistance protein 1 OS=Mus musculus OX=10090 GN=Bcar1 PE=1 SV=2;FALSE;Mouse;11;18;11;1;"cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane";"protein binding;signal transducer activity";12927;ENSMUSG00000031955.10;"Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Focal adhesion; Chemokine signaling pathway; Rap1 signaling pathway; Bacterial invasion of epithelial cells";"Chemokine signaling pathway; Regulation of Actin Cytoskeleton; Integrin-mediated Cell Adhesion; EGFR1 Signaling Pathway; Focal Adhesion";0;1.012;0.882357206;0.970915888;99.4;100.6;5.12;0.51;
Q61142;Spin1;Spindlin-1 OS=Mus musculus OX=10090 GN=Spin1 PE=1 SV=2;FALSE;Mouse;2;2;2;1;"cell organization and biogenesis;development;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytoskeleton;cytosol;membrane;nucleus";"DNA binding;protein binding";20729;ENSMUSG00000021395.10;;;0;1.028;0.725132206;0.938067854;98.6;101.4;12.25;13.85;
Q61147;Cp;Ceruloplasmin OS=Mus musculus OX=10090 GN=Cp PE=1 SV=2;FALSE;Mouse;6;7;6;1;"cellular homeostasis;metabolic process;response to stimulus;transport";"extracellular;membrane";"catalytic activity;metal ion binding;protein binding";12870;ENSMUSG00000003617.16;Porphyrin and chlorophyll metabolism;;0;1.02;0.64609219;0.926981189;99;101;52.26;20.02;
Q61151;Ppp2r5e;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Mus musculus OX=10090 GN=Ppp2r5e PE=1 SV=3;FALSE;Mouse;4;5;4;1;"regulation of biological process;response to stimulus";"cytoplasm;cytosol";enzyme regulator activity;26932;ENSMUSG00000021051.10;"mRNA surveillance pathway; Dopaminergic synapse; Oocyte meiosis; Sphingolipid signaling pathway; PI3K-Akt signaling pathway; AMPK signaling pathway; Adrenergic signaling in cardiomyocytes";"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Wnt Signaling Pathway; Glycogen Metabolism; Wnt Signaling Pathway and Pluripotency; IL-6 signaling Pathway";0;0.903;0.170117616;0.858136371;105.1;94.9;11.13;5.15;
Q61160;Fadd;FAS-associated death domain protein OS=Mus musculus OX=10090 GN=Fadd PE=1 SV=1;FALSE;Mouse;1;2;1;1;"cell death;cell differentiation;defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;membrane;nucleus";protein binding;14082;ENSMUSG00000031077.7;"Herpes simplex infection; Platinum drug resistance; Chagas disease (American trypanosomiasis); TNF signaling pathway; NOD-like receptor signaling pathway; RIG-I-like receptor signaling pathway; Tuberculosis; Hepatitis B; Apoptosis - multiple species; Toll-like receptor signaling pathway; Pathways in cancer; Alzheimer's disease; Apoptosis";"FAS pathway and Stress induction of HSP regulation; Apoptosis Modulation by HSP70; Apoptosis; TNF-alpha NF-kB Signaling Pathway; Toll Like Receptor signaling; Alzheimers Disease";0;0.965;0.437952156;0.885768536;101.8;98.2;4.22;11.13;
Q61161;Map4k2;Mitogen-activated protein kinase kinase kinase kinase 2 OS=Mus musculus OX=10090 GN=Map4k2 PE=1 SV=1;FALSE;Mouse;2;2;2;1;"defense response;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;Golgi;membrane";"catalytic activity;nucleotide binding;protein binding;signal transducer activity";26412;"ENSMUSG00000024948.14; ENSMUSG00000106850.3";MAPK signaling pathway;Insulin Signaling;0;;;;;;;;
Q61164;Ctcf;Transcriptional repressor CTCF OS=Mus musculus OX=10090 GN=Ctcf PE=1 SV=2;FALSE;Mouse;7;17;7;1;"cell organization and biogenesis;metabolic process;regulation of biological process";"chromosome;nucleus";"DNA binding;metal ion binding;protein binding";13018;ENSMUSG00000005698.15;;"PluriNetWork; SIDS Susceptibility Pathways";0;1.023;0.312792544;0.868654353;98.9;101.1;3.82;1.06;
Q61165;Slc9a1;Sodium/hydrogen exchanger 1 OS=Mus musculus OX=10090 GN=Slc9a1 PE=1 SV=1;FALSE;Mouse;4;5;4;1;"cell death;cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;regulation of biological process;response to stimulus;transport";"cell surface;cytoplasm;endoplasmic reticulum;membrane;mitochondrion";"protein binding;transporter activity";20544;ENSMUSG00000028854.9;"Regulation of actin cytoskeleton; Pancreatic secretion; Proteoglycans in cancer; Thyroid hormone signaling pathway; Bile secretion; Salivary secretion; Cardiac muscle contraction; cAMP signaling pathway; Gastric acid secretion; Adrenergic signaling in cardiomyocytes";"Osteoclast; Regulation of Actin Cytoskeleton; G Protein Signaling Pathways";0;1;0.910038112;0.981503708;100;100;12.85;10.81;
Q61166;Mapre1;Microtubule-associated protein RP/EB family member 1 OS=Mus musculus OX=10090 GN=Mapre1 PE=1 SV=3;FALSE;Mouse;7;30;5;1;"cell division;regulation of biological process";"cytoplasm;cytoskeleton;Golgi";"protein binding;RNA binding";13589;ENSMUSG00000027479.14;;;1;1.023;0.310149342;0.866856602;98.9;101.1;5.46;3.95;
Q61171;Prdx2;Peroxiredoxin-2 OS=Mus musculus OX=10090 GN=Prdx2 PE=1 SV=3;FALSE;Mouse;7;132;7;1;"cell proliferation;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus";"cytoplasm;cytosol;mitochondrion";"antioxidant activity;catalytic activity;protein binding";21672;ENSMUSG00000005161.15;;;0;1.02;0.38829397;0.879342554;99;101;8.67;6.89;
Q61183;Papola;Poly(A) polymerase alpha OS=Mus musculus OX=10090 GN=Papola PE=1 SV=4;FALSE;Mouse;6;11;6;1;"metabolic process;regulation of biological process";"cytoplasm;nucleus";"catalytic activity;metal ion binding;nucleotide binding;RNA binding";18789;ENSMUSG00000021111.15;mRNA surveillance pathway;"TNF-alpha NF-kB Signaling Pathway; mRNA processing";0;1.002;0.938721832;0.988660931;99.9;100.1;6.18;4.15;
